Price,Close,High,Low,Open,Volume,Stock,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,,,,,,,,,,,,
2024-11-06,1320.0777587890625,1323.0160966964434,1295.0277806900112,1304.7888451117578,21625209.0,RELIANCE,,,,,,,,,,
2024-11-07,1300.4561767578125,1318.7331565363688,1297.4182609581876,1318.7331565363688,9611974.0,RELIANCE,,,,,,,,,,
2024-11-08,1278.6431884765625,1296.4720058402277,1269.9279963447846,1292.4879180085577,19814406.0,RELIANCE,,,,,,,,,,
2024-11-11,1267.6370849609375,1280.884225507143,1261.9598084895413,1273.8622221377802,9056552.0,RELIANCE,,,,,,,,,,
2024-11-12,1269.1810302734375,1284.1712099692156,1262.4578817905294,1270.4759075040322,10671091.0,RELIANCE,,,,,,,,,,
2024-11-13,1247.0693359375,1270.3761523895544,1244.5294313213271,1265.196886863478,14633633.0,RELIANCE,,,,,,,,,,
2024-11-14,1262.5574951171875,1267.537605244334,1246.1231316976048,1248.613186761178,12612633.0,RELIANCE,,,,,,,,,,
2024-11-18,1255.7347412109375,1267.8364328732807,1238.951794764919,1262.55746761959,13620611.0,RELIANCE,,,,,,,,,,
2024-11-19,1236.710693359375,1276.4021442257297,1230.236550606767,1255.734688515481,14183746.0,RELIANCE,,,,,,,,,,
2024-11-21,1218.1348876953125,1239.0014996478671,1212.407761281373,1236.7107220331202,19433843.0,RELIANCE,,,,,,,,,,
2024-11-22,1260.3662109375,1263.8024380613526,1217.586994857739,1224.509420421979,20471957.0,RELIANCE,,,,,,,,,,
2024-11-25,1281.8802490234375,1299.260783408558,1277.3483005192684,1284.868314871977,28923341.0,RELIANCE,,,,,,,,,,
2024-11-26,1290.545654296875,1292.687125909721,1279.0914013187908,1289.7986377983043,9247557.0,RELIANCE,,,,,,,,,,
2024-11-27,1288.0555419921875,1298.6632001168684,1280.8842325588682,1288.3543972122054,9572746.0,RELIANCE,,,,,,,,,,
2024-11-28,1265.7447509765625,1291.442044503892,1264.0017125526565,1284.818474176107,15027412.0,RELIANCE,,,,,,,,,,
2024-11-29,1287.0595703125,1294.3305794929802,1270.177046170391,1274.9081506356404,13202307.0,RELIANCE,,,,,,,,,,
2024-12-02,1303.9422607421875,1306.133460567327,1271.9699779978703,1282.876370557777,11024152.0,RELIANCE,,,,,,,,,,
2024-12-03,1318.035888671875,1321.5219654799555,1301.8006823317874,1311.7609017834461,16869482.0,RELIANCE,,,,,,,,,,
2024-12-04,1303.742919921875,1323.1156203515295,1298.8625094957517,1320.7251432865569,19608540.0,RELIANCE,,,,,,,,,,
2024-12-05,1316.7908935546875,1324.6593698468237,1300.9541199209712,1309.1214514378748,16858723.0,RELIANCE,,,,,,,,,,
2024-12-06,1306.3326416015625,1318.6334884089777,1304.7887589399247,1318.6334884089777,9037514.0,RELIANCE,,,,,,,,,,
2024-12-09,1289.9979248046875,1309.7689372979064,1287.9560310594236,1297.8166732313093,14650002.0,RELIANCE,,,,,,,,,,
2024-12-10,1279.73876953125,1289.7488386952925,1275.107243177966,1284.121290398709,16043729.0,RELIANCE,,,,,,,,,,
2024-12-11,1273.115234375,1284.8683422637005,1270.9738844056644,1279.8882324099652,11724373.0,RELIANCE,,,,,,,,,,
2024-12-12,1257.876220703125,1273.1152845047754,1255.5853214463157,1264.9479526569407,20906813.0,RELIANCE,,,,,,,,,,
2024-12-13,1267.78662109375,1270.1272485556606,1234.6688884780408,1254.9877622795104,28630222.0,RELIANCE,,,,,,,,,,
2024-12-16,1263.2547607421875,1275.904191603511,1261.511722229068,1269.9280595585296,9486781.0,RELIANCE,,,,,,,,,,
2024-12-17,1240.34619140625,1258.8721754853295,1237.8561365143116,1256.033537225462,17462791.0,RELIANCE,,,,,,,,,,
2024-12-18,1248.2645263671875,1254.9378248920182,1235.714673937889,1235.714673937889,12670179.0,RELIANCE,,,,,,,,,,
2024-12-19,1225.55517578125,1239.947766097918,1224.1109925687356,1234.0712121990753,14244653.0,RELIANCE,,,,,,,,,,
